type,breed_name,description,personality,care,source_url
cat,อะบิสซิเนียน,อะบิสซิเนียเป็นแมวขนาดกลาง รูปร่างสง่า มีลำตัวเพรียวและขาเรียวยาวแข็งแรง หัวทรงกลม ปลายจมูกเรียวแหลม มีกระจุกขนโดดเด่นบริเวณปลายหู ดวงตากลมหางตาชี้ เนื่องจากแมวพันธุ์นี้ขนสั้นและเรียงชิดติดกัน จึงมีลวดลายเฉียบคมเป็นเอกลักษณ์ซึ่งเกิดจากแถบสีของเส้นขน สีที่พบได้บ่อยคือสีส้ม แต่ก็มีสีอื่นๆ ด้วย The need-to-know แมวอะบิสซีเนียนมีนิสัยรักสงบ ฉลาดและขี้สงสัย ว่ากันว่าเป็นแมวที่ชอบคนและติดฝูง ชอบทำกิจกรรมอยู่ในที่กว้าง เป็นนักปีนป่ายชั้นเลิศ และชอบสวนที่มีต้นไม้ให้ปีนเล่น แต่ถึงแมวพันธ์ุนี้จะขี้เล...,รอระบุโครงสร้าง (อ่านจาก Paragraph),รอระบุโครงสร้าง (อ่านจาก Paragraph),https://www.purina.co.th/find-a-pet/cat/breed-library/abyssinian
cat,บริติช ช็อตแฮร์ (British Shorthair),ทำความรู้จักบริติช ช็อตแฮร์ (British Shorthair)ว่ากันว่า British shorthair เป็นหนึ่งในสายพันธุ์แมวที่เก่าแก่ที่สุดของประเทศอังกฤษ ด้วยลักษณะเด่นที่มีขนหนานุ่มน่ากอด กับนิสัยเท่ๆ ถึงจะอยู่แบบเงียบๆ แต่ก็เข้ากับทุกคนได้ง่าย แถมยังเป็นมิตรอีกต่างหาก ถ้าใครกำลังมองหาเพื่อนแท้ซักตัวที่จะอยู่เคียงข้างแบบไม่กวนใจ มองมาทางนี้เลย น้องแมวบริติช ช็อตแฮร์ (British Shorthair) รอที่จะครองใจคุณอยู่ The need-to-know น้องแมวบริติช ช็อตแฮร์ นั้นน่ารัก เรียบร้อย และเข้ากับคนอื่นง่าย ทำให้น้องกลายเป็นแมวเลี้ยง...,รอระบุโครงสร้าง (อ่านจาก Paragraph),รอระบุโครงสร้าง (อ่านจาก Paragraph),https://www.purina.co.th/find-a-pet/cat/breed-library/british-shorthair
cat,เอ็กซ์โซติก ช็อตแฮร์,เอ็กซ์โซติก ช็อตแฮร์ มีขนาดตัวปานกลาง รูปร่างป้อม ลักษณะหัวจะออกกลมและกว้าง หูมีขนาดเล็ก ตั้งห่างกัน ส่วนหน้าจะกลมแป้น ตาค่อนข้างกลมโตและมีสีโดดเด่นสะดุดตา ขาของแมวพันธุ์นี้สั้น ล่ำและแข็งแรง อุ้งเท้ามีลักษณะกลมและมีขนแทรกเพื่อกระจายน้ำหนักฝ่าเท้า หางสั้นและมีขนเป็นพวง ขนสั้น หนานุ่มและเงางาม มีขนชั้นในที่นุ่ม กระจุกแน่น แมวพันธุ์เอ็กซ์โซติก ช็อตแฮร์มีสีและลายขนเหมือนกับแมวเปอร์เซีย และก็มีแบบลายจุดด้วย The need-to-know เอ็กซ์โซติก ช็อตแฮร์ มีพื้นฐานนิสัยที่อ่อนโยนคล้ายกับพี่แมวขนยาวพันธุ์อ...,รอระบุโครงสร้าง (อ่านจาก Paragraph),รอระบุโครงสร้าง (อ่านจาก Paragraph),https://www.purina.co.th/find-a-pet/cat/breed-library/exotic-shorthair
cat,แมวขาวมณี,แมวขาวมณีมีรูปร่างเพรียว มีกล้ามเนื้อที่ปกคลุมด้วยขนสั้นแน่นนุ่มสีขาว มีใบหูขนาดกลางถึงใหญ่ ส่วนจมูกจะเชิดเล็กน้อย จุดเด่นที่เป็นเอกลักษณ์ของสายพันธุ์นี้อยู่ที่ตา แมวขาวมณีมีตาได้หลายสี ไม่ว่าจะเป็นสีฟ้าหรือเหลืองอำพัน เหลือง หรือเขียว โดยข้างหนึ่งอาจเป็นสีฟ้า ส่วนอีกข้างอาจเป็นสีอื่นก็ได้ ในประเทศไทยนั้น แมวขาวมณีที่มีตาสองสีถือว่าเป็นสิ่งนำโชค ดังนั้นบางครั้งจึงเรียกแมวพันธุ์นี้ว่า “แมวนำโชค” บางครั้งแมวขาวมณีอาจเกิดมามีรอยเหมือนปานบนหัวแต่ปานนี้จะหายไปเมื่ออายุประมาณ 1 ปี ซึ่งถือเป็นเรื่องปก...,รอระบุโครงสร้าง (อ่านจาก Paragraph),รอระบุโครงสร้าง (อ่านจาก Paragraph),https://www.purina.co.th/find-a-pet/cat/breed-library/khao-manee
cat,แมวสีสวาด,แมวสีสวาดหรือแมวโคราช เป็นแมวขนสั้น เป็นมัน เส้นละเอียดและเรียงชิดติดกับผิวหนัง เป็นแมวที่มีสีเดียวคือสีสวาด ซึ่งมีลักษณะเทาอมเขียว แต่หากเป็นสายตาฝรั่งอาจมองว่าเป็นสีเงินอมฟ้า จมูก ริมฝีปากและอุ้งเท้าของแมวสีสวาดมีสีน้ำเงินอมเทาหรือสีม่วง ้แมวสายพันธุ์นี้อาจหน้าตาดูคล้ายเพื่อนสายพันธุ์รัสเซียบลู (Russian Blue) แต่แมวสีสวาดหรือแมวโคราชมีขนชั้นเดียวและรูปร่างกลมมากกว่าเพื่อนจากรัสเซีย โดยตาจะมีสีเขียวอ่อนมากกว่าสีฟ้าเข้ม ส่วนหัวจะเป็นทรงหัวใจและมีใบหูใหญ่ ตาโต ดูตื่นตัว ส่วนลำตัวก็แข็งแรง มีกล้า...,รอระบุโครงสร้าง (อ่านจาก Paragraph),รอระบุโครงสร้าง (อ่านจาก Paragraph),https://www.purina.co.th/find-a-pet/cat/breed-library/korat
cat,แมวเมนคูน,แมวเมนคูนเป็นสายพันธุ์แมวขนาดใหญ่ที่สุดในโลก รูปร่างแข็งแรงกำยาและขาแข็งแรง หัวทรงเหลี่ยม ใบหูใหญ่และตั้งตรง ขนด้านนอกมีลักษณะยาวหนาเป็นมันและกันน้ำได้ดี มีขนชั้นในซ่อนอยู่ข้างใต้ ส่วนขนที่หัว คอและไหล่จะสั้นกว่าจุดอื่นแต่จะค่อย ๆ ยาวขึ้นเรื่อย ๆ บริเวณส่วนหลัง ข้างลำตัวและหาง ส่วนท้องกับสะโพกมีขนดกและหนา ที่โคนหูจะมีขนยาวเป็นพู่งามสง่า โดยแมวเมนคูนเพศผู้จะมีขนส่วนนี้หนากว่าเพศเมีย ส่วนขนที่หางจะยาวนุ่มสลวย บริเวณปลายหูจะมีขนยาวแซมออกมา เช่นเดียวกับบริเวณอุ้งเท้า มองผ่าน ๆ เหมือนใส่รองเท้าขนฟูห...,รอระบุโครงสร้าง (อ่านจาก Paragraph),รอระบุโครงสร้าง (อ่านจาก Paragraph),https://www.purina.co.th/find-a-pet/cat/breed-library/maine-coon
cat,แมวมันช์กิ้น,แมวมันช์กิ้น เป็นแมวสายพันธุ์ขนาดกลาง ขาสั้นกุดและลำตัวยาว มีคนเปรียบเปรยไว้ว่า แมวสายพันธุ์นี้เคลื่อนที่เหมือนตัวเฟร์ริต เพราะฉะนั้นอย่าคาดหวังว่าจะได้เห็นแมวมันช์กิ้นเดินกรีดกรายเหมือนแมวขายาว ๆ นอกจากนี้แมวมันช์กิ้นยังมีลำตัวหนาและอกตันอีกด้วย มีทั้งแบบขนสั้นและขนยาว มีขนนุ่มลื่นเป็นประกายเหมือนกำมะหยี่ ถ้าเป็นพันธุ์ขนยาว ขนหางจะเป็นฟูฟ่องเป็นพวง แมวสายพันธุ์นี้มีหลายสี หลายลาย และตากลมโตเหมือนลูกวอลนัท The need-to-know แมวมันช์กิ้นมีนิสัยอ่อนโยนแต่กล้าแสดงออก แม้จะโตแล้ว ก็ยังมีความอยาก...,รอระบุโครงสร้าง (อ่านจาก Paragraph),รอระบุโครงสร้าง (อ่านจาก Paragraph),https://www.purina.co.th/find-a-pet/cat/breed-library/munchkin
cat,แมวนอร์วีเจียน ฟอเรสต์,แมวนอร์วีเจียน ฟอเรสต์เป็นแมวขนาดกลางที่ถือว่าใหญ่กว่าเพื่อนในรุ่นเดียวกัน แมวพันธุ์นี้มีลักษณะสง่างามและขนค่อนข้างยาว (ขนจะสั้นขึ้นเล็กน้อยในฤดูร้อน) ลำตัวยาว มีกล้ามเนื้อและโครงกระดูกแข็งแรง ขายาวและหางเป็นพวง ส่วนหัวของแมวนอร์วีเจียน ฟอเรสต์มีลักษณะยาวทรงสามเหลี่ยม ขากรรไกรตรง หูตั้ง มีขนยาวออกมาเป็นพู่ ขนด้านนอกเป็นเงาลื่น ทำหน้าที่กันน้ำให้ขนชั้นในที่ซ่อนอยู่ แมวสายพันธุ์นี้มีแผงคอ ขนที่อก และขาหรือแม้กระทั่งซอกนิ้ว แถมมีให้เลือกหลากหลายสี ยกเว้นสีน้ำตาลช็อคโกแลต ม่วงหรือไล่สีแบบแมววิเชียร...,รอระบุโครงสร้าง (อ่านจาก Paragraph),รอระบุโครงสร้าง (อ่านจาก Paragraph),https://www.purina.co.th/find-a-pet/cat/breed-library/norwegian-forest
cat,อ็อกซี่แคท,แมวพันธุ์นี้มีขนาดกลางถึงใหญ่ และมีลายจุดเฉพาะตัวของสายพันธุ์ ส่วนอกจะยุบแต่กว้าง มีขาแข็งแรงและกล้ามเนื้อเป็นทรวดทรงงดงาม ส่วนหัวเป็นทรงสามเหลี่ยมกลับหัวแต่ก็มีขากรรไกร “เหลี่ยม” ด้วย ใบหูมีลักษณะใหญ่ กว้างและมีกระจุกขน หลายคนจึงนึกว่าแมวพันธุ์นี้มีนิสัย “ดุร้าย” อ็อกซี่แคทมีขนสั้นและละเอียดเหมือนผ้าซาติน ส่วนลวดลายจุดที่เป็นเอกลักษณ์ของสายพันธุ์นี้จะกระจายเป็นระเบียบไปทั่วลำตัวด้านข้าง หัวไหล่และสะโพก ต่อเนื่องไปจนถึงขาและส่วนท้อง ส่วนหน้าผากจะมีลายตัวอักษรเอ็ม (M) ที่เป็นเอกลักษณ์ชัดเจน ส่วน...,รอระบุโครงสร้าง (อ่านจาก Paragraph),รอระบุโครงสร้าง (อ่านจาก Paragraph),https://www.purina.co.th/find-a-pet/cat/breed-library/ocicat
cat,แมวเปอร์เซีย (Persian cat),ทำความรู้จักแมวเปอร์เซีย (Persian Cat)แมวเปอร์เซีย หรือ Persian Cat คือหนึ่งในสายพันธุ์น้องแมวขนสวยยาวเงางาม และจัดเป็นหนึ่งในสิบสายพันธุ์แมว ที่ได้รับความนิยมนำมาเลี้ยงมากที่สุดบนโลกสายพันธุ์หนึ่ง ด้วยขนที่สวย บวกกับความน่ารัก ความจงรักภักดีต่อเจ้าของ รักความสงบ ไม่ส่งเสียงดังเอะอะ และความฉลาดแสนรู้ของแมวเปอร์เซีย ทำให้น้องแมวสายพันธุ์นี้มัดใจให้หลายคนตกหลุมรักกันแบบถอนตัวไม่ขึ้น มาทำความรู้จักน้องแมวเปอร์เซีย กันให้มากอีกนิด แล้วคุณจะหลงรักน้องแมวเปอร์เซียยิ่งขึ้นไปอีกลักษณะเด่นของแมวเปอร์เซี...,รอระบุโครงสร้าง (อ่านจาก Paragraph),รอระบุโครงสร้าง (อ่านจาก Paragraph),https://www.purina.co.th/find-a-pet/cat/breed-library/persian-long-hair
cat,แร็กดอล,แร็กดอลเป็นแมวสายพันธุ์ใหญ่ มีพละกำลังและลวดลายที่เป็นเอกลักษณ์ แม้จะดูเป็นแมวขึงขัง จริงจัง แต่จริง ๆ แล้วเป็นแมวสบาย ๆ รักสงบสมชื่อ “แร็กดอล” ที่แปลว่า “ตุ๊กตาผ้า” ส่วนหัวของแมวพันธุ์แร็กดอลค่อนข้างกว้าง ด้านบนแบน และหูทั้งสองข้างตั้งห่างกัน ตาลึกกลมโตสีฟ้า ลำตัวของแมวพันธุ์นี้ยาว มีกล้ามอกกว้าง คอสั้นและขาตรงแข็งแรง อุ้งมือค่อนข้างกลมและใหญ่ มีขนแซมตามซอกนิ้ว ส่วนหางยาวเป็นพวง ขนของแมวพันธุ์แร็กดอลหนาละเอียดเหมือนเส้นไหม มีทั้งแบบขนยาวกลาง ๆ ไปจนถึงยาวมาก แต่สำหรับเหมียวที่โตเต็มไวแผงอกและรอ...,รอระบุโครงสร้าง (อ่านจาก Paragraph),รอระบุโครงสร้าง (อ่านจาก Paragraph),https://www.purina.co.th/find-a-pet/cat/breed-library/ragdoll
cat,รัสเซียนบลู,รัสเซียนบลูเป็นแมวขนาดกลางถึงใหญ่ มีรูปร่างเพรียวบาง งามสง่า และขาเรียวยาว มองผ่าน ๆ เหมือนเดินเขย่งปลายเท้าตลอดเวลา ส่วนหัวเป็นทรงสามเหลี่ยมกลับหัว พร้อมด้วยแผงหนวดที่โดดเด่นและใบหูขนาดใหญ่ ดวงตาของรัสเซียนบลูกลมโตคล้ายเมล็ดอัลมอนด์ ตั้งห่างกันและมีสีเขียวสดใส ขนของแมวพันธุ์นี้มีสองชั้น ขึ้นเรียงกันแน่นและสั้น ให้สัมผัสนุ่มละเอียด หากสัมผัสขนของรัสเซียนบลูแล้วจะรู้ว่าต่างจากสายพันธุ์อื่น และใช้เป็นเครื่องบ่งชี้สายพันธุ์นี้ได้อย่างแท้จริง แม้จะชื่อ “รัสเซียนบลู” แต่บางครั้งเราจะพบเห็นแมว “รัสเซ...,รอระบุโครงสร้าง (อ่านจาก Paragraph),รอระบุโครงสร้าง (อ่านจาก Paragraph),https://www.purina.co.th/find-a-pet/cat/breed-library/russian-blue
